Title,average_rating,ratings_count,Amazon Link,Author,Author Gender,Book Type,Fiction / Non-Fiction,Genre,Publish Year,Rank (copy),Rank Year,Reason,Reason (Consolidated),Title (copy),Page Count,Points,Rank,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Initiating Action,bookID,title,authors,isbn,isbn13,language_code,  num_pages,text_reviews_count,publication_date,publisher
Bone (series),4.47,204,https://www.amazon.com/Bone-Complete-Cartoon-Epic-One/dp/188896314X,Jeff Smith,Man,Graphic Novel,Fiction,Fantasy,1991,10,2013,"political viewpoint, racism, violence",,Bone (series),1344,1,10,,,,,,,,,,,,,,,,,,,
Captain Underpants (series),4.0,54616,https://www.amazon.com/Adventures-Captain-Underpants-Dav-Pilkey/dp/0590846280,Dav Pilkey,Man,Graphic Novel,Fiction,Comics,1997,1,2013,"offensive language, unsuited for age group, violence",,Captain Underpants (series),117,10,1,,,,,,,,,,,,,,,,,,,
Captain Underpants (series),4.09,51202,https://www.amazon.com/Adventures-Captain-Underpants-Dav-Pilkey/dp/0590846280,Dav Pilkey,Man,Graphic Novel,Fiction,Comics,1997,1,2012,"offensive language, unsuited for age group",,Captain Underpants (series),117,10,1,,,,,,,,,,,,,,,,,,,
Captain Underpants (series),4.21,19935,https://www.amazon.com/Adventures-Captain-Underpants-Dav-Pilkey/dp/0590846280,Dav Pilkey,Man,Graphic Novel,Fiction,Comics,1997,3,2018,"series was challenged because it was perceived as encouraging disruptive behavior, while Captain Underpants and the Sensational Saga of Sir Stinks-A-Lot was challenged for including a same-sex couple",,Captain Underpants (series),117,8,3,,,,,,,,,,,,,,,,,,,
Drama,4.19,151023,https://www.amazon.com/Drama-Raina-Telgemeier/dp/0545326990,Raina Telgemeier,Woman,Graphic Novel,Fiction,Bildungsroman,2012,2,2016,"challenged because it includes LGBT characters, was deemed sexually explicit, and was considered to have an offensive political viewpoint",,Drama,240,9,2,,,,,,,,,,,,,,,,,,,
Drama,4.19,151023,https://www.amazon.com/Drama-Raina-Telgemeier/dp/0545326990,Raina Telgemeier,Woman,Graphic Novel,Fiction,Bildungsroman,2012,3,2017,"This Stonewall Honor Award-winning, 2012 graphic novel from an acclaimed cartoonist was challenged and banned in school libraries because it includes LGBT characters and was considered “confusing.”",,Drama,240,8,3,,,,,,,,,,,,,,,,,,,
Drama,4.19,151023,https://www.amazon.com/Drama-Raina-Telgemeier/dp/0545326990,Raina Telgemeier,Woman,Graphic Novel,Fiction,Bildungsroman,2012,5,2018,banned and challenged for including LGBTQIA+ characters and themes,,Drama,240,6,5,,,,,,,,,,,,,,,,,,,
Drama,4.19,151023,https://www.amazon.com/Drama-Raina-Telgemeier/dp/0545326990,Raina Telgemeier,Woman,Graphic Novel,Fiction,Bildungsroman,2012,8,2019,challenged for LGBTQIA+ content and for concerns that it goes against “family values/morals”,,Drama,240,3,8,,,,,,,,,,,,,,,,,,,
Drama,4.19,151023,https://www.amazon.com/Drama-Raina-Telgemeier/dp/0545326990,Raina Telgemeier,Woman,Graphic Novel,Fiction,Bildungsroman,2012,10,2014,sexually explicit,,Drama,240,1,10,,,,,,,,,,,,,,,,,,,
Eleanor & Park,3.94,1202823,https://www.amazon.com/Eleanor-Park-Rainbow-Rowell/dp/1250012570,Rainbow Rowell,Woman,Book,Fiction,Romance,2012,10,2016,challenged for offensive language,,Eleanor & Park,333,1,10,,,,,,,,,,,,,,,,,,,
Fifty Shades of Grey,3.66,2706338,https://www.amazon.com/Fifty-Shades-Grey-Book-Trilogy/dp/0345803485,E.L. James,Woman,Book,Fiction,Romance,2011,2,2015,"sexually explicit, unsuited for age group, and other (“poorly written,” “concerns that a group of teenagers will want to try it”)",,Fifty Shades of Grey,514,9,2,,,,,,,,,,,,,,,,,,,
Fifty Shades of Grey,3.66,2706338,https://www.amazon.com/Fifty-Shades-Grey-Book-Trilogy/dp/0345803485,E.L. James,Woman,Book,Fiction,Romance,2011,4,2013,"nudity, offensive language, religious viewpoint, sexually explicit, unsuited for age group",,Fifty Shades of Grey,514,7,4,,,,,,,,,,,,,,,,,,,
Fifty Shades of Grey,3.66,2706338,https://www.amazon.com/Fifty-Shades-Grey-Book-Trilogy/dp/0345803485,E.L. James,Woman,Book,Fiction,Romance,2011,4,2012,"offensive language, sexually explicit",,Fifty Shades of Grey,514,7,4,,,,,,,,,,,,,,,,,,,
Fun Home,4.08,188480,https://www.amazon.com/Fun-Home-Tragicomic-Alison-Bechdel/dp/0618871713,Alison Bechdel,Woman,Graphic Novel,Non-Fiction,Memoir,2006,7,2015,violence and other (“graphic images”),,Fun Home,240,4,7,,,,,,,,,,,,,,,,,,,
Gender Queer,4.27,68628,https://www.amazon.com/Gender-Queer-Memoir-Maia-Kobabe/dp/1549304003,Maia Kobabe,Non-Binary,Graphic Novel,Non-Fiction,Memoir,2019,1,2021,"Banned, challenged, and restricted for LGBTQIA+ content, and because it was considered to have sexually explicit images",,Gender Queer,240,10,1,,,,,,,,,,,,,,,,,,,
George,4.10,46628,https://www.amazon.com/George-Scholastic-Gold-Alex-Gino/dp/0545812577,Alex Gino,Non-Binary,Book,Fiction,LGBT,2015,1,2020,"Challenged, banned, and restricted for LGBTQIA+ content, conflicting with a religious viewpoint, and not reflecting “the values of our community”",,George,224,10,1,,,,,,,,,,,,,,,,,,,
George,4.10,46628,https://www.amazon.com/George-Scholastic-Gold-Alex-Gino/dp/0545812577,Alex Gino,Non-Binary,Book,Fiction,LGBT,2015,1,2019,"challenged, banned, restricted, and hidden to avoid controversy; for LGBTQIA+ content and a transgender character; because schools and libraries should not “put books in a child’s hand that require discussion”; for sexually explicit; and for conflicting with a religious viewpoint and “traditional family values structure”",,George,224,10,1,,,,,,,,,,,,,,,,,,,
George,4.10,46628,https://www.amazon.com/George-Scholastic-Gold-Alex-Gino/dp/0545812577,Alex Gino,Non-Binary,Book,Fiction,LGBT,2015,1,2018,"banned, challenged, and relocated because it was believed to encourage children to clear browser history and change their bodies using hormones, transgender, LGBTQIA+, and for mentioning “dirty magazines,” describing male anatomy, “creating confusion,” and including a transgender character",,George,224,10,1,,,,,,,,,,,,,,,,,,,
George,4.10,46628,https://www.amazon.com/George-Scholastic-Gold-Alex-Gino/dp/0545812577,Alex Gino,Non-Binary,Book,Fiction,LGBT,2015,3,2016,"challenged because it includes a transgender child, LGBTQIA, and the “sexuality was not appropriate at elementary levels”",,George,224,8,3,,,,,,,,,,,,,,,,,,,
George,4.10,46628,https://www.amazon.com/George-Scholastic-Gold-Alex-Gino/dp/0545812577,Alex Gino,Non-Binary,Book,Fiction,LGBT,2015,5,2017,"Written for elementary-age children, this Lambda Literary Award winner was challenged and banned because it includes a transgender child, age group.",,George,224,6,5,,,,,,,,,,,,,,,,,,,
Habibi,4.03,42436,https://www.amazon.com/Habibi-Pantheon-Graphic-Library-Thompson/dp/0375424148,Craig Thompson,Man,Graphic Novel,Fiction,Romance,2011,8,2015,"nudity, sexually explicit, and unsuited for age group",,Habibi,672,3,8,,,,,,,,,,,,,,,,,,,
Harry Potter (series),4.47,10504262,https://www.amazon.com/Harry-Potter-Sorcerers-Stone-Rowling/dp/059035342X,J. K. Rowling,Woman,Book,Fiction,Fantasy,1997,9,2019,"banned and forbidden from discussion for referring to magic and witchcraft, for containing actual curses and spells, and for characters that use “nefarious means” to attain goals, religious viewpoint",,Harry Potter (series),223,2,9,,,,,,,,,,,,,,,,,,,
I Am Jazz,4.12,3261,https://www.amazon.com/I-Am-Jazz-Jessica-Herthel/dp/0803741073,Jessica Herthel and Jazz Jennings,Woman,Picture Book,Non-Fiction,Children's,2014,3,2015,"inaccurate, same-sex, homosexuality, sex education, religious viewpoint, and unsuited for age group",,I Am Jazz,32,8,3,,,,,,,,,,,,,,,,,,,
